,Gaimersheim,Ingolstadt,Munich
86,37.6,0.0,18.8
87,37.6,0.0,18.8
88,37.6,0.0,18.8
89,37.6,0.0,18.4
90,37.6,0.0,18.4
91,37.6,0.0,18.4
92,37.6,0.0,18.4
93,37.6,0.0,18.4
94,37.6,0.0,18.4
95,37.6,0.0,18.4
96,37.6,0.0,18.4
97,37.6,0.0,18.4
98,37.6,0.0,18.4
99,37.6,0.0,18.4
100,37.6,0.0,18.4
101,37.6,0.0,18.0
102,37.6,0.0,18.0
103,37.6,0.0,18.0
104,37.6,0.0,18.0
105,37.6,0.0,18.0
106,37.6,0.0,18.0
107,37.6,0.0,18.0
108,37.6,0.0,18.0
109,37.6,0.0,18.0
110,37.6,0.0,18.0
111,37.6,0.0,18.0
112,37.6,0.0,18.0
113,37.6,0.0,17.6
114,37.6,0.0,17.6
115,37.6,0.0,17.6
116,37.6,0.0,17.6
117,37.6,0.0,17.6
118,37.6,0.0,17.6
119,37.6,0.0,17.6
120,37.6,0.0,17.6
121,37.6,0.0,17.6
122,37.6,0.0,17.6
123,37.6,0.0,17.6
124,37.6,0.0,17.6
125,37.6,0.0,17.6
126,37.6,0.0,17.6
127,37.6,0.0,17.6
128,37.6,0.0,17.6
129,37.2,0.0,17.6
130,37.2,0.0,17.6
131,37.2,0.0,17.6
132,37.2,0.0,17.2
133,37.2,0.0,17.2
134,37.2,0.0,17.2
135,37.2,0.0,17.2
136,37.2,0.0,17.2
137,37.2,0.0,17.2
138,37.2,0.0,17.2
139,37.2,0.0,17.2
140,37.2,0.0,17.2
141,37.2,0.0,16.8
142,37.2,0.0,16.8
143,37.2,0.0,16.8
144,37.2,0.0,16.4
145,37.2,0.0,16.4
146,37.2,0.0,16.4
147,37.2,0.0,16.4
148,37.2,0.0,16.4
149,37.2,0.0,16.4
150,37.2,0.0,16.4
151,37.2,0.0,16.4
152,37.2,0.0,16.4
153,37.2,0.0,16.4
154,37.2,0.0,16.4
155,37.2,0.0,16.4
156,36.8,0.0,16.4
157,36.8,0.0,16.4
158,36.8,0.0,16.4
159,36.8,0.0,16.4
160,36.8,0.0,16.4
161,36.8,0.0,16.4
162,36.8,0.0,16.4
163,36.8,0.0,16.4
164,36.8,0.0,16.4
165,36.8,0.0,16.4
166,36.8,0.0,16.4
167,36.8,0.0,16.4
168,36.8,0.0,16.4
169,36.8,0.0,16.4
170,36.8,0.0,16.4
171,36.8,0.0,16.4
172,36.8,0.0,16.4
173,36.8,0.0,16.4
174,36.8,0.0,16.4
175,36.8,0.0,16.4
176,36.8,0.0,16.0
177,36.8,0.0,16.0
178,36.8,0.0,16.0
179,36.4,0.0,16.0
180,36.4,0.0,15.6
181,36.4,0.0,15.2
182,36.0,0.0,15.2
183,35.6,0.0,14.8
184,35.2,0.0,14.4
185,35.2,0.0,14.4
186,34.8,0.0,14.0
187,34.4,0.0,13.2
188,34.4,0.0,13.2
189,33.2,0.0,12.4
190,32.8,0.0,11.6
191,32.0,0.0,11.2
192,31.6,0.0,10.8
193,30.8,0.0,10.0
194,30.4,0.0,9.2
195,29.6,0.0,8.0
196,28.4,0.0,6.8
197,28.0,0.0,5.2
198,27.2,0.0,3.6
199,27.2,0.0,2.0
200,27.2,0.0,0.4
201,27.2,0.0,0.0
202,27.2,0.0,0.0
203,27.2,0.0,0.0
204,27.2,0.0,0.0
205,27.2,0.0,0.0
206,27.2,0.0,0.0
207,27.2,0.0,0.0
208,27.2,0.0,0.0
209,27.2,0.0,0.0
210,27.2,0.0,0.0
211,27.2,0.0,0.0
212,27.2,0.0,0.0
213,27.2,0.0,0.0
214,26.8,0.0,0.0
215,26.8,0.0,0.0
216,26.8,0.0,0.0
217,26.8,0.0,0.0
218,26.0,0.0,0.0
219,24.8,0.0,0.0
220,24.0,0.0,0.0
221,23.2,0.0,0.0
222,22.8,0.0,0.0
223,22.8,0.0,0.0
224,22.0,0.0,0.0
225,21.6,0.0,0.0
226,21.6,0.0,0.0
227,21.6,0.0,0.0
228,21.6,0.0,0.0
229,21.2,0.0,0.0
230,21.2,0.0,0.0
231,21.2,0.0,0.0
232,21.2,0.0,0.0
233,21.2,0.0,0.0
234,21.2,0.0,0.0
235,21.2,0.0,0.0
236,21.2,0.0,0.0
237,21.2,0.0,0.0
238,21.2,0.0,0.0
239,21.2,0.0,0.0
240,21.2,0.0,0.0
241,21.2,0.0,0.0
242,21.2,0.0,0.0
243,21.2,0.0,0.0
244,21.2,0.0,0.0
245,21.2,0.0,0.0
246,21.2,0.0,0.0
247,21.2,0.0,0.0
248,21.2,0.0,0.0
249,21.2,0.0,0.0
250,21.2,0.0,0.0
251,21.2,0.0,0.0
252,21.2,0.0,0.0
253,21.2,0.0,0.0
254,21.2,0.0,0.0
255,21.2,0.0,0.0
256,21.2,0.0,3.6
257,21.2,0.0,9.6
258,21.2,0.0,15.6
259,21.2,0.0,20.8
260,21.2,0.0,25.2
261,21.2,0.0,28.4
262,21.2,0.0,30.8
263,21.2,0.0,32.8
264,21.2,0.0,34.4
265,21.2,0.0,35.2
266,21.2,0.0,35.6
267,21.2,0.0,36.0
268,21.2,0.0,36.4
269,21.2,0.0,36.4
270,21.2,0.0,37.2
271,21.2,0.0,37.2
272,21.2,0.0,37.6
273,21.2,0.0,37.6
274,20.8,0.0,37.6
275,20.0,0.0,37.6
276,19.6,0.0,37.6
277,19.6,0.0,37.6
278,19.2,0.0,37.6
279,18.4,0.0,37.6
280,17.2,0.0,37.6
281,17.2,0.0,37.6
282,16.4,0.0,37.6
283,16.4,0.0,37.6
284,15.6,0.0,37.6
285,15.2,0.0,37.6
286,14.8,0.0,37.6
287,14.8,0.0,37.6
288,14.0,0.0,37.6
289,13.6,0.0,37.6
290,12.8,0.0,37.6
291,12.8,0.0,37.2
292,12.8,0.0,37.2
293,12.8,0.0,37.2
294,12.8,0.0,36.8
295,12.8,0.0,36.8
296,12.8,0.0,36.8
297,12.8,0.0,36.8
298,12.8,0.0,36.4
299,12.8,0.0,36.0
300,12.8,0.0,36.0
301,12.8,0.0,36.0
302,12.8,0.0,36.0
303,12.8,0.0,36.0
304,12.8,0.0,36.0
305,12.8,0.0,36.0
306,12.4,0.0,35.6
307,12.4,0.0,35.6
308,12.4,0.0,35.6
309,12.4,0.0,35.6
310,12.0,0.0,35.6
311,12.0,0.0,35.2
312,12.0,0.0,35.2
313,11.6,0.0,34.8
314,11.6,0.0,34.4
315,11.6,0.0,33.6
316,11.6,0.0,33.2
317,11.6,0.0,32.4
318,11.6,0.0,32.0
319,11.6,0.0,31.2
320,11.2,0.0,30.8
321,11.2,0.0,30.8
322,11.2,0.0,30.4
323,11.2,0.0,30.4
324,11.2,0.0,30.4
325,10.8,0.0,30.4
326,10.8,0.0,30.4
327,10.8,0.0,30.4
328,10.4,0.0,30.4
329,10.0,0.0,30.4
330,9.6,0.0,30.4
331,9.6,0.0,30.4
332,9.2,0.0,30.4
333,9.2,0.0,30.4
334,9.2,0.0,30.0
335,8.8,0.0,30.0
336,8.8,0.0,29.6
337,8.8,0.0,29.6
338,8.8,0.0,28.8
339,8.4,0.0,28.8
340,8.4,0.0,28.0
341,8.4,0.0,27.6
342,8.4,0.0,27.2
343,8.4,0.0,26.4
344,8.0,0.0,26.0
345,8.0,0.0,24.8
346,8.0,0.0,24.4
347,8.0,0.0,24.0
348,8.0,0.0,23.6
349,8.0,0.0,23.2
350,8.0,0.0,23.2
351,8.0,0.0,23.2
352,7.6,0.0,23.2
353,7.6,0.0,23.2
354,7.6,0.0,23.2
355,7.6,0.0,23.2
356,7.6,0.0,23.2
357,7.6,0.0,23.2
358,7.6,0.0,22.8
359,7.6,0.0,22.8
360,7.6,0.0,22.8
361,7.6,0.0,22.8
362,7.6,0.0,22.4
363,7.2,0.0,22.4
364,7.2,0.0,22.0
365,7.2,0.0,21.2
366,7.2,0.0,19.6
367,7.2,0.0,17.6
368,7.2,0.0,15.6
369,7.2,0.0,13.2
370,7.2,0.0,10.4
371,7.2,0.0,8.0
372,7.2,0.0,5.6
373,7.2,0.0,3.2
374,7.2,0.0,1.2
375,7.2,0.0,0.0
376,7.2,0.0,0.0
377,7.2,0.0,0.0
378,7.2,0.0,0.0
379,7.2,0.0,0.0
380,7.2,0.0,0.0
381,7.2,0.0,0.0
382,7.2,0.0,0.0
383,7.2,0.0,0.0
384,7.2,0.0,0.0
385,7.2,0.0,0.0
386,6.8,0.0,0.0
387,6.8,0.0,0.0
388,6.8,0.0,0.0
389,6.8,0.0,0.0
390,6.8,0.0,0.0
391,6.8,0.0,0.0
392,6.8,0.0,0.0
393,6.8,0.0,0.0
394,6.8,0.0,0.0
395,6.8,0.0,0.0
396,6.8,0.0,0.0
397,6.8,0.0,0.0
398,6.8,0.0,0.0
399,6.8,0.0,0.0
400,6.8,0.0,0.0
401,6.8,0.0,0.0
402,6.8,0.0,0.0
403,6.8,0.0,0.0
404,6.8,0.0,0.0
405,6.8,0.0,0.0
406,6.8,0.0,0.0
407,6.8,0.0,0.0
408,6.8,0.0,0.0
409,6.8,0.0,0.0
410,6.4,0.0,0.0
411,6.4,0.0,0.0
412,6.0,0.0,0.0
413,6.0,0.0,0.0
414,6.0,0.0,0.0
415,6.0,0.0,0.0
416,6.0,0.0,0.0
417,6.0,0.0,0.0
418,5.6,0.0,0.0
419,5.6,0.0,0.0
420,5.6,0.0,0.0
421,5.6,0.0,0.0
422,5.6,0.0,0.0
423,5.6,0.0,0.0
424,5.6,0.0,0.0
425,5.6,0.0,0.0
426,5.6,0.0,0.0
427,5.6,0.0,0.0
428,5.6,0.0,0.0
429,5.6,0.0,0.0
430,5.6,0.0,0.0
431,5.6,0.0,0.0
432,5.6,0.0,0.0
433,5.6,0.0,0.0
434,5.6,0.0,0.0
435,5.6,0.0,0.0
436,5.6,0.0,0.0
437,5.6,0.0,0.0
438,5.6,0.0,0.0
439,5.6,0.0,0.0
440,5.6,0.0,0.0
441,5.6,0.0,0.0
442,5.6,0.0,0.0
443,5.6,0.0,0.0
444,5.6,0.0,0.0
445,5.6,0.0,0.0
446,5.6,0.0,0.0
447,5.6,0.0,0.0
448,5.6,0.0,0.0
449,5.6,0.0,0.0
450,5.6,0.0,0.0
451,5.6,0.0,0.0
452,5.6,0.0,0.0
453,5.6,0.0,0.0
454,5.6,0.0,0.0
455,5.6,0.0,0.0
456,5.6,0.0,0.0
457,5.6,0.0,0.0
458,5.6,0.0,0.0
459,5.6,0.0,0.0
460,5.6,0.0,0.0
461,5.6,0.0,0.0
462,5.6,0.0,0.0
463,5.6,0.0,0.0
464,5.6,0.0,0.0
465,5.6,0.0,0.0
466,5.6,0.0,0.0
467,5.6,0.0,0.0
468,5.6,0.0,0.0
469,5.6,0.0,0.0
470,5.6,0.0,0.0
471,5.6,0.0,0.0
472,5.6,0.0,0.0
473,5.6,0.0,0.0
474,5.6,0.0,0.0
475,5.6,0.0,0.0
476,5.6,0.0,0.0
477,5.6,0.0,0.0
478,5.6,0.0,0.0
479,5.6,0.0,0.0
480,5.6,0.0,0.0
481,5.6,0.0,0.0
482,5.6,0.0,0.0
483,5.6,0.0,0.0
484,5.6,0.0,0.0
485,5.6,0.0,0.0
486,5.6,0.0,0.0
487,5.6,0.0,0.0
488,5.6,0.0,0.0
489,5.6,0.0,0.0
490,5.6,0.0,0.0
491,5.6,0.0,0.0
492,5.6,0.0,0.0
493,5.6,0.0,0.0
494,5.6,0.0,0.0
495,5.6,0.0,0.0
496,5.6,0.0,0.0
497,5.6,0.0,0.0
498,5.6,0.0,0.0
499,5.6,0.0,0.0
500,5.6,0.0,0.0
501,5.6,0.0,0.0
502,5.6,0.0,0.0
503,5.6,0.0,0.0
504,5.6,0.0,0.0
505,5.6,0.0,0.0
506,5.6,0.0,0.0
507,5.6,0.0,0.0
508,5.6,0.0,0.0
509,5.6,0.0,0.0
510,5.6,0.0,0.0
511,5.6,0.0,0.0
512,5.6,0.0,0.0
513,5.6,0.0,0.0
514,5.6,0.0,0.0
515,5.6,0.0,0.0
516,5.6,0.0,0.0
517,5.6,0.0,0.0
518,5.6,0.0,0.0
519,5.6,0.0,0.0
520,5.6,0.0,0.0
521,5.6,0.0,0.0
522,5.6,0.0,0.0
523,5.6,0.0,0.0
524,5.6,0.0,0.0
525,5.6,0.0,0.0
526,5.6,0.0,0.0
527,5.6,0.0,0.0
528,5.6,0.0,0.0
529,5.6,0.0,0.0
530,5.6,0.0,0.0
531,5.6,0.0,0.0
532,5.6,0.0,0.0
533,5.6,0.0,0.0
534,5.6,0.0,0.0
535,5.6,0.0,0.0
536,5.6,0.0,0.0
537,5.6,0.0,0.0
538,5.6,0.0,0.0
539,5.6,0.0,0.0
540,5.6,0.0,0.0
541,5.6,0.0,0.0
542,5.6,0.0,0.0
543,5.6,0.0,0.0
544,5.6,0.0,0.0
545,5.6,0.0,0.0
546,5.6,0.0,0.0
547,5.6,0.0,0.0
548,5.6,0.0,0.0
549,5.6,0.0,0.0
550,5.6,0.0,0.0
551,5.6,0.0,0.0
552,5.6,0.0,0.0
553,5.6,0.0,0.0
554,5.6,0.0,0.0
555,5.6,0.0,0.0
556,5.6,0.0,0.0
557,5.6,0.0,0.0
558,5.6,0.0,0.0
559,5.6,0.0,0.0
560,5.6,0.0,0.0
561,5.6,0.0,0.0
562,5.6,0.0,0.0
563,5.6,0.0,0.0
564,5.6,0.0,0.0
565,5.6,0.0,0.0
566,5.6,0.0,0.0
567,5.6,0.0,0.0
568,5.6,0.0,0.0
569,5.6,0.0,0.0
570,5.6,0.0,0.0
571,5.6,0.0,0.0
572,5.6,0.0,0.0
573,5.6,0.0,0.0
574,5.6,0.0,0.0
575,5.6,0.0,0.0
576,5.6,0.0,0.0
577,5.6,0.0,0.0
578,5.6,0.0,0.0
579,5.6,0.0,0.0
580,5.6,0.0,0.0
581,5.6,0.0,0.0
582,5.6,0.0,0.0
583,5.6,0.0,0.0
584,5.6,0.0,0.0
585,5.6,0.0,0.0
586,5.6,0.0,0.0
587,5.6,0.0,0.0
588,5.6,0.0,0.0
589,5.6,0.0,0.0
590,5.6,0.0,0.0
591,5.6,0.0,0.0
592,5.6,0.0,0.0
593,5.6,0.0,0.0
594,5.6,0.0,0.0
595,5.6,0.0,0.0
596,5.6,0.0,0.0
597,5.6,0.0,0.0
598,5.6,0.0,0.0
599,5.6,0.0,0.0
600,5.6,0.0,0.0
601,5.6,0.0,0.0
602,5.6,0.0,0.0
603,5.6,0.0,0.0
604,5.6,0.0,0.0
605,5.6,0.0,0.0
606,5.6,0.0,0.0
607,5.6,0.0,0.0
608,5.6,0.0,0.0
609,5.6,0.0,0.0
610,5.6,0.0,0.0
611,5.6,0.0,0.0
612,5.6,0.0,0.0
613,5.6,0.0,0.0
614,5.6,0.0,0.0
615,5.6,0.0,0.0
616,5.6,0.0,0.0
617,5.6,0.0,0.0
618,5.6,0.0,0.0
619,5.6,0.0,0.0
620,5.6,0.0,0.0
621,5.6,0.0,0.0
622,5.6,0.0,0.0
623,5.6,0.0,0.0
624,5.6,0.0,0.0
625,5.6,0.0,0.0
626,5.6,0.0,0.0
627,5.6,0.0,0.0
628,5.6,0.0,0.0
629,5.6,0.0,0.0
630,5.6,0.0,0.0
631,5.6,0.0,0.0
632,5.6,0.0,0.0
633,5.6,0.0,0.0
634,5.6,0.0,0.0
635,5.6,0.0,0.0
636,5.6,0.0,0.0
637,5.6,0.0,0.0
638,5.6,0.0,0.0
639,5.6,0.0,0.0
640,5.6,0.0,0.0
641,5.6,0.0,0.0
642,5.6,0.0,0.0
643,5.6,0.0,0.0
644,5.6,0.0,0.0
645,5.6,0.0,0.0
646,5.6,0.0,0.0
647,5.6,0.0,0.0
648,5.6,0.0,0.0
649,5.6,0.0,0.0
650,5.2,0.0,0.0
651,5.2,0.0,0.0
652,5.2,0.0,0.0
653,5.2,0.0,0.0
654,4.8,0.0,0.0
655,4.0,0.0,0.0
656,2.4,0.0,0.0
657,2.4,0.0,0.0
658,1.2,0.0,0.0
659,0.4,0.0,0.0
660,0.0,0.0,0.0
661,0.0,0.0,0.0
662,0.0,0.0,0.0
663,0.0,0.0,0.0
664,0.0,0.0,0.0
665,0.0,0.0,0.0
666,0.0,0.0,0.0
667,0.0,0.0,0.0
668,0.0,0.0,0.0
669,0.0,0.0,0.0
670,0.0,0.0,0.0
671,0.0,0.0,0.0
672,0.0,0.0,0.0
673,0.0,0.0,0.0
674,0.0,0.0,0.0
675,0.0,0.0,0.0
676,0.0,0.0,0.0
677,0.0,0.0,0.0
678,0.0,0.0,0.0
679,0.0,0.0,0.0
680,0.0,0.0,0.0
681,0.0,0.0,0.0
682,0.0,0.0,0.0
683,0.0,0.0,0.0
684,0.0,0.0,0.0
685,0.0,0.0,0.0
686,0.0,0.0,0.0
687,0.0,0.0,0.0
688,0.0,0.0,0.0
689,0.0,0.0,0.0
690,0.0,0.0,0.0
691,0.0,0.0,0.0
692,0.0,0.0,0.0
693,0.0,0.0,0.0
694,0.0,0.0,0.0
695,0.0,0.0,0.0
696,0.0,0.0,0.0
697,0.0,0.0,0.0
698,0.0,0.0,0.0
699,0.0,0.0,0.0
700,0.0,0.0,0.0
701,0.0,0.0,0.0
702,0.0,0.0,0.0
703,0.0,0.0,0.0
704,0.0,0.0,0.0
705,0.0,0.0,0.0
706,0.0,0.0,0.0
707,0.0,0.0,0.0
708,0.0,0.0,0.0
709,0.0,0.0,0.0
710,0.0,0.0,0.0
711,0.0,0.0,0.0
712,0.0,0.0,0.0
713,0.0,0.0,0.0
714,0.0,0.0,0.0
715,0.0,0.0,0.0
716,0.0,0.0,0.0
717,0.0,0.0,0.0
718,0.0,0.0,0.0
719,0.0,0.0,0.0
720,0.0,0.0,0.0
721,0.0,0.0,0.0
722,0.0,0.0,0.0
723,0.0,0.0,0.0
724,0.0,0.0,1.2
725,0.0,0.0,2.4
726,0.0,0.0,3.6
727,0.0,0.0,4.8
728,0.0,0.0,5.6
729,0.0,0.0,6.4
730,0.0,0.0,7.2
731,0.0,0.0,8.0
732,0.0,0.0,8.4
733,0.0,0.0,8.8
734,0.0,0.0,8.8
735,0.0,0.0,8.8
736,0.0,0.0,9.2
737,0.0,0.0,9.2
738,0.0,0.0,9.6
739,0.0,0.0,9.6
740,0.0,0.0,10.0
741,0.0,0.0,10.4
742,0.0,0.0,10.8
743,0.0,0.0,11.6
744,0.0,0.0,12.0
745,0.0,0.0,12.4
746,0.0,0.0,12.8
747,0.0,0.0,13.2
748,0.0,0.0,13.2
749,0.0,0.0,13.2
750,0.0,0.0,13.2
751,0.0,0.0,13.2
752,0.0,0.0,13.2
753,0.0,0.0,13.2
754,0.0,0.0,13.2
755,0.0,0.0,13.2
756,0.0,0.0,13.2
757,0.0,0.0,13.2
758,0.0,0.0,13.2
759,0.0,0.0,13.2
760,0.0,0.0,13.2
761,0.0,0.0,13.2
762,0.0,0.0,13.6
763,0.0,0.0,13.6
764,0.0,0.0,13.6
765,0.0,0.0,13.6
766,0.0,0.0,13.6
767,0.0,0.0,13.6
768,0.0,0.0,13.6
769,0.0,0.0,13.6
770,0.0,0.0,13.6
771,0.0,0.0,13.6
772,0.0,0.0,13.6
773,0.0,0.0,13.6
774,0.0,0.0,13.6
775,0.0,0.0,13.6
776,0.0,0.0,13.6
777,0.0,0.0,13.6
778,0.0,0.0,13.6
779,0.0,0.0,13.6
780,0.0,0.0,13.6
781,0.0,0.0,13.6
782,0.0,0.0,13.6
783,0.0,0.0,13.6
784,0.0,0.0,13.6
785,0.0,0.0,13.6
786,0.0,0.0,14.0
787,0.0,0.0,14.0
788,0.0,0.0,14.0
789,0.0,0.0,14.0
790,0.0,0.0,14.0
791,0.0,0.0,14.0
792,0.0,0.0,14.0
793,0.0,0.0,14.4
794,0.0,0.0,14.4
795,0.0,0.0,14.4
796,0.0,0.0,14.4
797,0.0,0.0,15.2
798,0.0,0.0,15.2
799,0.0,0.0,15.2
800,0.0,0.0,15.6
801,0.0,0.0,15.6
802,0.0,0.0,16.0
803,0.0,0.0,16.0
804,0.0,0.0,16.4
805,0.0,0.0,16.4
806,0.0,0.0,16.4
807,0.0,0.0,16.4
808,0.0,0.0,16.4
809,0.0,0.0,16.8
810,0.0,0.0,16.8
811,0.0,0.0,16.8
812,0.0,0.0,16.8
813,0.0,0.0,16.8
814,0.0,0.0,16.8
815,0.0,0.0,16.8
816,0.0,0.0,16.8
817,0.0,0.0,16.8
818,0.0,0.0,16.8
819,0.0,0.0,17.2
820,0.0,0.0,17.2
821,0.0,0.0,17.2
822,0.0,0.0,17.2
823,0.0,0.0,17.2
824,0.0,0.0,17.2
825,0.0,0.0,17.2
826,0.0,0.0,17.2
827,0.0,0.0,17.2
828,0.0,0.0,17.2
829,0.0,0.0,17.2
830,0.0,0.0,17.2
831,0.0,0.0,17.2
832,0.0,0.0,17.2
833,0.0,0.0,17.2
834,0.0,0.0,17.2
835,0.0,0.0,17.2
836,0.0,0.0,17.2
837,0.0,0.0,17.2
838,0.0,0.0,17.2
839,0.0,0.0,17.2
840,0.0,0.0,17.2
841,0.0,0.0,17.2
842,0.0,0.0,17.2
843,0.0,0.0,17.2
844,0.0,0.0,17.2
845,0.0,0.0,17.2
846,0.0,0.0,17.2
847,0.0,0.0,17.2
848,0.0,0.0,17.2
849,0.0,0.0,17.2
850,0.0,0.0,17.2
851,0.0,0.0,17.2
852,0.0,0.0,17.2
853,0.0,0.0,17.2
854,0.0,0.0,17.2
855,0.0,0.0,17.2
856,0.0,0.0,17.2
857,0.0,0.0,17.2
858,0.0,0.0,17.2
859,0.0,0.0,17.2
860,0.0,0.0,17.2
861,0.0,0.0,17.2
862,0.0,0.0,17.2
863,0.0,0.0,17.2
864,0.0,0.0,17.2
865,0.0,0.0,17.2
866,0.0,0.0,17.2
867,0.0,0.0,17.2
868,0.0,0.0,17.2
869,0.0,0.0,17.2
870,0.0,0.0,17.6
871,0.0,0.0,17.6
872,0.0,0.0,17.6
873,0.0,0.0,17.6
874,0.0,0.0,17.6
875,0.0,0.0,17.6
876,0.0,0.0,17.6
877,0.0,0.0,17.6
878,0.0,0.0,18.0
879,0.0,0.0,18.0
880,0.0,0.0,18.0
881,0.0,0.0,18.0
882,0.0,0.0,18.4
883,0.0,0.0,18.4
884,0.0,0.0,18.4
885,0.0,0.0,18.4
886,0.0,0.0,18.4
887,0.0,0.0,18.4
888,0.0,0.0,18.4
889,0.0,0.0,18.4
890,0.0,0.0,18.4
891,0.0,0.0,18.4
892,0.0,0.0,18.4
893,0.0,0.0,18.4
894,0.0,0.0,18.4
895,0.0,0.0,18.4
896,0.0,0.0,18.4
897,0.0,0.0,18.4
898,0.0,0.0,18.4
899,0.0,0.0,18.4
900,0.0,0.0,18.8
901,0.0,0.0,18.8
902,0.0,0.0,18.8
903,0.0,0.0,18.8
904,0.0,0.0,18.8
905,0.0,0.0,18.8
906,0.0,0.0,18.8
907,0.0,0.0,18.8
908,0.0,0.0,18.8
909,0.0,0.0,18.8
910,0.0,0.0,18.8
911,0.0,0.0,18.8
912,0.0,0.0,18.8
913,0.0,0.0,18.8
914,0.0,0.0,18.8
915,0.0,0.0,18.8
916,0.0,0.0,18.8
917,0.0,0.0,18.8
918,0.0,0.0,18.8
919,0.0,0.0,18.8
920,0.0,0.0,18.8
921,0.0,0.0,18.8
922,0.0,0.0,18.8
923,0.0,0.0,18.8
924,0.0,0.0,18.8
925,0.0,0.0,18.8
926,0.0,0.0,18.8
927,0.0,0.0,18.8
928,0.0,0.0,18.8
929,0.0,0.0,18.8
930,0.0,0.0,18.8
931,0.0,0.0,18.8
932,0.0,0.0,18.8
933,0.0,0.0,18.8
934,0.0,0.0,19.2
935,0.0,0.0,19.2
936,0.0,0.0,19.2
937,0.0,0.0,19.2
938,0.0,0.0,19.2
939,0.0,0.0,19.2
940,0.0,0.0,19.2
941,0.0,0.0,19.2
942,0.0,0.0,19.2
943,0.0,0.0,19.2
944,0.0,0.0,19.2
945,0.0,0.0,19.2
946,0.0,0.0,19.2
947,0.0,0.0,19.2
948,0.0,0.0,19.2
949,0.0,0.0,19.2
950,0.0,0.0,19.2
951,0.0,0.0,19.2
952,0.0,0.0,19.2
953,0.0,0.0,19.2
954,0.0,0.0,19.2
955,0.0,0.0,19.2
956,0.0,0.0,19.2
957,0.0,0.0,19.2
958,0.0,0.0,19.2
959,0.0,0.0,19.2
960,0.0,0.0,19.2
961,0.0,0.0,19.2
962,0.0,0.0,19.2
963,0.0,0.0,19.2
964,0.0,0.0,19.2
965,0.0,0.0,19.2
966,0.0,0.0,19.2
967,0.0,0.0,19.2
968,0.0,0.0,19.2
969,0.0,0.0,19.2
970,0.0,0.0,19.2
971,0.0,0.0,19.2
972,0.0,0.0,19.2
973,0.0,0.0,19.2
974,0.0,0.0,19.2
975,0.0,0.0,19.2
976,0.0,0.0,19.2
977,0.0,0.0,19.2
978,0.0,0.0,19.2
979,0.0,0.0,19.2
980,0.0,0.0,19.2
981,0.0,0.0,19.2
982,0.0,0.0,19.2
983,0.0,0.0,19.2
984,0.0,0.0,19.2
985,0.0,0.0,19.2
986,0.0,0.0,19.2
987,0.0,0.0,19.2
988,0.0,0.0,19.2
989,0.0,0.0,19.2
990,0.0,0.0,19.2
991,0.0,0.0,19.2
992,0.0,0.0,19.2
993,0.0,0.0,19.2
994,0.0,0.0,19.2
995,0.0,0.0,19.2
996,0.0,0.0,19.2
